name,id,city_id
Abbott Park,2,23
Ada Park,3,24
Adams Park,4,26
Adams Playground Park,5,25
Addams Park,6,28
Administration Building,7,647
Altgeld Park,8,32
Amundsen Park,9,33
Anderson Playground Park,10,34
Archer Park,11,37
Armour Square Park,12,38
Armstrong Park,13,39
Arrigo Park,14,40
Athletic Field Park,15,18
Augusta Park,16,46
Austin Town Hall Park,17,49
Avalon Park,18,50
Avondale Gymnastics Center,333,16
Avondale Park,19,1
Bartelme (Mary) Park,20,56
Bauler Playlot Park,21,58
Bell Park,22,61
Berger Park Cultural Center,23,62
Bessemer Park,24,63
Beverly Park,25,64
Big Marsh Park,26,661
Bixler Playlot Park,27,67
Blackhawk Park,28,68
Bogan Park,29,71
Boler (Roscoe Lee) Park,30,73
Bosley Playground Park,31,74
Bradley Park,32,76
Brainerd Park,33,77
Brands Park,34,14
Brighton Park,35,78
Broadway Armory Gymnastics Center,36,607
Broadway Armory Park,37,79
Broncho Billy Playlot Park,38,81
Brooks Park,39,83
Buffalo Playlot Park,40,88
Burnham Park,41,89
Burnside Park,42,90
Buttercup Playlot Park,43,91
California Park,44,93
Calumet Beach,45,622
Calumet Gymnastics Center,334,609
Calumet Park,46,94
Carver Park,47,98
Chase Park,48,106
Chicago Women's Park and Gardens,49,108
Chippewa Park,50,109
Chopin Park,51,110
Churchill Field Playlot Park,52,112
Clarendon Park Community Center,53,114
Clark (John) Park,54,115
Clark (Richard) Boathouse,55,116
Columbus Park,56,125
Columbus Park Refectory,57,638
Commercial Club Playground,58,126
Cooper Park,59,128
Cornell Park,60,129
Cornell Square Park,61,130
Cosme Park,62,131
Cragin Park,63,134
Crescent Park,64,136
Davis Square Park,65,140
Dawes Park,66,141
de Burgos (Julia) Park,67,434
Dearborn Park,68,143
Don Nash Community Center,69,364
Donovan Playground Park,70,152
Dooley Playground Park,71,153
Douglass Park Cultural and Community Center,72,155
Dunbar Park,73,158
Dunham Park,74,159
Durkin Park,75,160
Dvorak Park,76,163
Eckhart Park,77,165
Edgebrook Park,78,166
Edison Park,79,167
Ellis Park,80,169
