id,name,location,city_id,latitude,longitude
1,﻿63rd Street Beach,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00$_\t\xa4\xc4\xe4U\xc0\\3\x9e\xad(\xe4D@',596,41.7824914,-87.574502
2,Abbott Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x805\xbdz\xcb\xe7U\xc0\xbb\x1c\xc0lL\xdcD@',23,41.7210823,-87.6217944
3,Ada Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xc2\x0c\x88\xf0\xdd\xe9U\xc0\x18\x0c\xae\xb9#\xd8D@',24,41.688590250000004,-87.65417111669652
4,Adams Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x02\x7f\xf8\xf9\xef\xe9U\xc0c+hZb\xf5D@',26,41.917064,-87.655272
5,Adams Playground Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x02\x7f\xf8\xf9\xef\xe9U\xc0c+hZb\xf5D@',25,41.917064,-87.655272
6,Addams Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00W\x16\x96\x89l\xeaU\xc0eh\xe1WQ\xeeD@',28,41.8618574,-87.6628746
7,Administration Building,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x1e\x8bmR\xd1\xedU\xc0\x96@J\xec\xda\xf0D@',647,41.881681,-87.715901
8,Altgeld Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00p\xfc\x9a\xf6^\xecU\xc0\xac\xd5\r\xca\xea\xefD@',32,41.8743527,-87.6932961
9,Amundsen Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xdfc\xfao\xef\xf1U\xc0\xd5\x96:\xc8\xeb\xf4D@',33,41.9134455,-87.7802391
10,Anderson Playground Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x13P\x97{\xb7\xe7U\xc0\xc4\x9e\xd1\xb1\xde\xe9D@',34,41.8271086,-87.6205739
11,Archer Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x83n/i\x0c\xefU\xc0\x85\xc7#]\xd8\xe6D@',37,41.8034779,-87.7351325
12,Armour Square Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xd6G\x96\x82\xa4\xe8U\xc0d\xe0\xca#\xc9\xeaD@',38,41.8342633,-87.6350409
13,Armstrong Park,"b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x1e\x00\xcc\x10""\xe7U\xc0\xcb\x80\xb3\x94,\xe8D@'",39,41.8138605,-87.6114542
14,Arrigo Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xef\xb6\xc1?[\xeaU\xc0\x15\xc09\xc8\x90\xefD@',40,41.8716059,-87.6618194
15,Athletic Field Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00h\xa0\xe8p\xe3\xedU\xc0\xb9=\x9c\x1b.\xf9D@',18,41.9467196,-87.7170069
16,Augusta Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xde\xe0\xb0\xd96\xefU\xc0\x9c\xe7\xe35\n\xf3D@',46,41.8987491,-87.7377228
